"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"IDH3G",2.53966870156733,8.2648097512718,3.14261581463627,0.00484573432678539,0.030164696184239,-2.04322170560079
"ERLIN2",2.76871131120779,8.47681763086961,3.36158134534636,0.00290223238145177,0.0221221182545355,-2.05326414241018
"LAMB1",2.53849203918398,8.40752970016011,3.11285274744789,0.00519233845352029,0.0310294145982373,-2.06005326001565
"RDX",2.54549741898502,8.38944033471817,3.1134221446076,0.00518548801578393,0.0310294145982373,-2.06659930319956
"RPL32",2.66314924904763,8.32136887571339,3.223241974666,0.00401564871627923,0.0266639074760941,-2.06999237954753
"ALPK3",2.52288764549076,8.303822346979,3.11911477649515,0.00511747844211342,0.0309123728047877,-2.07450226774646
"IGKV3-20",-4.62695036281669,7.03096801484988,-3.34513143907714,0.00301690992082072,0.022288623180572,-2.08160443338826
"AAMDC",-4.66323008687397,7.07712392673723,-3.33976532963718,0.00305526659095374,0.0223753347396318,-2.08306026411884
"LNPK",4.13473609544337,5.86572875630248,3.61160019396841,0.00160413455260875,0.0159771801439831,-2.08848905279114
"VPS4A",-4.58894393919347,6.98827351471445,-3.34350191756849,0.00302850770124238,0.022288623180572,-2.09083287520611
"RCN2",2.8184478984579,7.47597832458749,3.28735832793348,0.00345576339690371,0.0245852881665435,-2.09375657516681
"SRSF3",3.11309697976445,7.42862800326823,3.28013298891323,0.00351484414198681,0.0247697035289071,-2.10592486608424
"MYOM3",3.10728213047262,8.62711646648805,3.5914246718282,0.0016831503771779,0.0165435964704196,-2.11601643955884
"TTR",2.54960151251218,8.18146084189792,3.14351843288225,0.00483558081250258,0.030164696184239,-2.12306587471082
"COQ10A",3.21841964840542,6.98002197979897,3.35773048473704,0.002928690312967,0.0222104737440238,-2.13024406149563
"RPS14",2.51321453161751,8.16856509953454,3.07637329038163,0.00564993185356465,0.0327170472450604,-2.13387520921071
"GPX4",2.62531375554013,8.04247786853836,3.17908073807567,0.00445153785635743,0.0287904656164416,-2.13667326991266
"AKR1C2",3.01661887649887,7.5757448143039,3.24428915650127,0.00382277492271361,0.0256108777333369,-2.14069103993733
"MTDH",2.7507327740007,7.41526817354252,3.25029689443337,0.00376939309621092,0.0253669967826086,-2.1582109727644
"PALLD",4.39112662288067,5.51227331553058,3.65659534713972,0.00144083644177998,0.0153757831715663,-2.18193240771247
"CFH",2.49864846383399,8.12868606961425,3.11794599047462,0.00513137112154441,0.0309123728047877,-2.18484519544559
"EIF3B",3.09813808124675,8.79550865592289,3.76056920461099,0.00112359823079676,0.0134661760517463,-2.19096547696118
"FAHD2A",-4.47409922623823,6.90707432957862,-3.28146565549908,0.00350387362256396,0.0247697035289071,-2.19378521329988
"RPS11",2.41029925765504,8.27610823582444,3.0528550423307,0.00596532715390916,0.0337583286664405,-2.19499220567223
"GBE1",-4.4867538048223,6.94822412293119,-3.260617694629,0.00367937508055309,0.0252155338089281,-2.21503215948246
"PSMB2",3.01096843166435,7.32480569822512,3.21759226457909,0.00406901092701818,0.0268986828538282,-2.21537962623468
"CCS",-4.47650652851018,6.93915762792109,-3.2564778311217,0.00371522898762781,0.0252767377089786,-2.22120838077691
"ATAD1",2.40344127240924,8.3176967004008,3.03195986857328,0.00625973262495454,0.0351020087869617,-2.22147921433253
"CHCHD4",2.48108687167069,8.1273642755051,3.03102333959424,0.00627325056634456,0.0351020087869617,-2.22702986156993
"RPS28",2.50107776952801,8.01034787555621,3.12012600489399,0.0051054879149611,0.0309123728047877,-2.23286856547658
"PPA2",2.56236662178896,7.99233714379147,3.12188903344473,0.0050846479535064,0.0309123728047877,-2.24022181184276
"ALDOC",-4.56944418993166,7.06648620437183,-3.23011477241648,0.00395165022967391,0.0263560957282715,-2.24120933910112
"GRPEL1",2.67624885071195,7.52011934390778,3.18022039297405,0.00443973283765435,0.0287904656164416,-2.24487857106667
"SF3B2",2.38710022152559,8.20444536875122,3.02794165780074,0.00631793060947816,0.0352201057110462,-2.26369502708411
"ILVBL",-4.78295309715438,7.31605591305131,-3.194181537941,0.00429755883054414,0.0282843739772377,-2.26650778204785
"CSNK2A1",2.47729933538806,8.01157723983486,3.08935405031924,0.00548280864208962,0.0319973285596949,-2.28078756886826
"RARS1",2.84578552119867,7.66619585844351,3.10403940553178,0.00529949442434252,0.0314184312300307,-2.29151925246277
"SPR",2.52424516743934,7.98157590171567,3.09499792728303,0.00541164392457525,0.0318513413412579,-2.29217205610017
"DUSP29",3.2364388947592,6.87215755738087,3.27216064895655,0.00358117416676215,0.0248909370368317,-2.29234685908002
"TPSB2",2.60206987267821,7.84555122565603,3.07371551359578,0.00568475131829118,0.0327915771024209,-2.29689460047867
"UQCR10",2.63582170425661,7.70991661834673,3.11025643804459,0.00522368580814043,0.0310923768819195,-2.30631503484305
"SH3GLB1",2.93601245616145,7.42512027059952,3.14431892522377,0.00482659334365242,0.030164696184239,-2.30697184037045
"LRRC39",2.88615450940422,7.38356105944893,3.13943239822475,0.004881709459389,0.0302625474370422,-2.31943205771382
"ISCA2",2.60628636617687,7.48077531396651,3.12278515893238,0.00507408682245339,0.0309123728047877,-2.33575694884637
"KPNA1",2.38645328886948,8.1115758327354,3.02364184672723,0.0063807842644356,0.0353968599869913,-2.34055746427998
"DGLUCY",2.76822276290545,7.82217648542936,3.03353515010669,0.00623705814383233,0.0351020087869617,-2.34931217817585
"SERPING1",-4.35679599624516,6.81350334281044,-3.15434218734124,0.00471541807688022,0.0298509940968604,-2.37317647739332
"LETM1",2.48417773836709,7.74082396770525,3.01375471448451,0.00652760421992878,0.0358538261197559,-2.41950979754719
"PRR33",-4.37393046461657,6.76369805756635,-3.12226411156062,0.0050802249510012,0.0309123728047877,-2.42139404581325
"SNRPE",4.32498495242832,5.44015722063246,3.4725093282909,0.00223283203320597,0.0189073192863481,-2.44496325763973
